Time,Confidence (%),Label,Mean Liveness Sim
12:46:32,24,Suspicious (24%),0.9807663727961621
12:46:34,24,Suspicious (24%),0.9803736178030857
12:46:35,24,Suspicious (24%),0.9791757103853842
12:46:37,23,Suspicious (23%),0.9744559058159972
12:46:40,23,Suspicious (23%),0.9751683277187139
12:46:42,26,Suspicious (26%),0.9727046758229189
12:46:44,24,Suspicious (24%),0.9745255297351907
12:46:46,24,Suspicious (24%),0.9728839522696932
12:46:48,26,Suspicious (26%),0.9659997944222611
12:46:50,31,Suspicious (31%),0.9294270836524023
12:46:53,36,Suspicious (36%),0.9068194271185366
12:46:55,25,Suspicious (25%),0.8569301747463685
12:46:57,25,Suspicious (25%),0.8612732241031166
12:47:00,24,Suspicious (24%),0.8616754480650868
12:47:02,25,Suspicious (25%),0.869526200018928
22:29:38,25,Suspicious (25%),
22:29:46,60,Authentic (60%),0.2613329121523389
22:29:48,60,Authentic (60%),0.6203230763474262
22:29:51,61,Authentic (61%),0.7317099023635946
22:29:53,60,Authentic (60%),0.7956925203171651
22:29:56,30,Suspicious (30%),0.68263958645257
22:29:58,29,Suspicious (29%),0.6846796428729526
22:30:01,57,Suspicious (57%),0.6259444291458998
22:30:04,29,Suspicious (29%),0.5868896042918136
22:30:07,56,Suspicious (56%),0.553501570848919
22:30:10,57,Suspicious (57%),0.6326276899674893
22:30:14,55,Suspicious (55%),0.6301721582930814
22:30:17,56,Suspicious (56%),0.6290759486752618
22:30:20,56,Suspicious (56%),0.6267055772847363
22:30:23,51,Suspicious (51%),0.6762803927834234
22:30:28,19,Suspicious (19%),0.631762990016544
22:30:30,65,Authentic (65%),0.6163461854823498
22:30:33,65,Authentic (65%),0.6691327785391805
22:30:39,29,Suspicious (29%),0.6634190980232328
22:30:44,69,Authentic (69%),0.5806652973421095
22:30:48,67,Authentic (67%),0.5612655294981344
22:30:52,67,Authentic (67%),0.553783645632515
22:30:56,71,Authentic (71%),0.5495512083125879
22:31:01,69,Authentic (69%),0.580431247107018
22:31:04,65,Authentic (65%),0.6536292089942407
22:31:09,68,Authentic (68%),0.7465197902611392
22:31:15,67,Authentic (67%),0.7682998143500845
22:31:17,67,Authentic (67%),0.8508159785871116
22:31:19,65,Authentic (65%),0.9346159247687935
22:31:22,65,Authentic (65%),0.9561183687270037
22:31:27,67,Authentic (67%),0.9672567632475213
